place_overall,place_gender,sex,name,bib,division,half_split,finish
Place Overall,Place Gender,M,,BIB,Division,HALF,Finish
15704,6015,W,"Comiskey, Kelly (USA)",33043,40-44,01:59:14,04:54:34
15709,6016,W,"Robert, Josiane (CAN)",1759,40-44,02:26:19,04:54:35
15710,6017,W,"Bolduc, Marie-Josee (CAN)",1726,50-54,02:26:19,04:54:36
15711,6018,W,"Sabourin, Sonia (CAN)",15837,50-54,02:26:20,04:54:36
15713,6019,W,"Cardinaels, Judith (CAN)",16356,45-49,02:26:20,04:54:36
15714,6020,W,"Boone, Michelle (USA)",33782,30-34,02:21:17,04:54:37
15715,6021,W,"Villalon, Tamara (USA)",20987,20-24,02:19:33,04:54:37
15717,6022,W,"Ellison, Raquel (USA)",20874,25-29,02:15:49,04:54:38
15719,6023,W,"Paradeda, Renata (USA)",34851,50-54,02:20:46,04:54:39
15721,6024,W,"Silverman, Cara (USA)",46295,35-39,02:23:39,04:54:39
15723,6025,W,"Cambeiro, Rebekah (USA)",27036,40-44,02:09:11,04:54:40
15725,6026,W,"Cerda, Isdalmis (DOM)",21595,45-49,02:21:31,04:54:40
15727,6027,W,"McSay, Laura (USA)",26419,30-34,02:09:03,04:54:41
15730,6028,W,"Katner, Jacqueline (USA)",42007,25-29,02:10:42,04:54:42
15731,6029,W,"Horcasitas arroyo, Carolina (MEX)",20443,30-34,02:14:18,04:54:43
15733,6030,W,"Fortin, Kyle (USA)",24556,25-29,02:17:42,04:54:44
15734,6031,W,"Fisher, Erin (USA)",28598,25-29,02:07:55,04:54:45
15738,6032,W,"Crimi, Amanda (USA)",26619,30-34,02:24:51,04:54:47
15739,6033,W,"Hopkins, Amanda (USA)",28429,35-39,02:18:09,04:54:47
15741,6034,W,"Sawadski, Melissa (USA)",30569,45-49,02:16:08,04:54:48
15744,6035,W,"Tao, Lily (USA)",29000,55-59,02:21:58,04:54:50
15746,6036,W,"Bowman, Caroline (USA)",32702,25-29,02:13:49,04:54:52
15749,6037,W,"Paink, Andrea (USA)",21831,40-44,02:10:31,04:54:52
15751,6038,W,"Lara, Yaneth (COL)",39087,45-49,02:20:44,04:54:53
15753,6039,W,"Medina, Brook (USA)",24979,40-44,02:13:20,04:54:53
15759,6040,W,"Ferronato, Priscilla (USA)",37409,35-39,02:21:26,04:54:57
15760,6041,W,"Medrano, Nelly (MEX)",3788,30-34,02:04:15,04:54:58
15768,6042,W,"Garvin, Nora (USA)",25498,25-29,02:21:12,04:55:01
15769,6043,W,"Lukasik, Lara (USA)",44600,35-39,02:20:42,04:55:03
15770,6044,W,"Rojas, Gloria (USA)",35305,25-29,02:16:49,04:55:03
15771,6045,W,"Pond, Taryn (USA)",33305,45-49,02:18:40,04:55:04
15773,6046,W,"Simon, Sandi (USA)",13855,55-59,02:06:07,04:55:04
15774,6047,W,"Lopez, Adriana (MEX)",20477,45-49,02:09:18,04:55:05
15775,6048,W,"Canek, Rosita (GUA)",16945,35-39,02:20:51,04:55:06
15780,6049,W,"Barry, Stephanie (AUS)",40319,25-29,02:17:33,04:55:08
15783,6050,W,"Bromm, Madison (USA)",21417,20-24,02:16:08,04:55:10
15784,6051,W,"Anderson, Nikki (USA)",41273,30-34,02:22:19,04:55:10
15785,6052,W,"Ramirez, Angela (DOM)",34182,40-44,02:10:55,04:55:10
15788,6053,W,"Caravantes, Glenda (GUA)",25835,45-49,02:22:25,04:55:11
15789,6054,W,"Makiejus, Sarah (USA)",30539,40-44,02:15:47,04:55:11
15791,6055,W,"Waldron, Laura (USA)",8963,30-34,02:10:52,04:55:12
15792,6056,W,"Fuchs, Robyn (USA)",7920,45-49,02:02:26,04:55:12
15793,6057,W,"Seferovic, Kanita (USA)",45185,20-24,02:11:55,04:55:12
15794,6058,W,"Richer, Lynne (USA)",35909,50-54,02:18:29,04:55:12
15797,6059,W,"Prescott, Aliya (USA)",36579,30-34,02:11:26,04:55:14
15799,6060,W,"Orueta, Maite (CHI)",21527,25-29,02:20:30,04:55:15
15800,6061,W,"Meza, Natalie (USA)",40187,25-29,02:22:36,04:55:16
15803,6062,W,"Lloyd, Monica (USA)",32623,40-44,02:12:58,04:55:17
15806,6063,W,"Mongan, Emily (USA)",36792,25-29,02:17:09,04:55:17
15811,6064,W,"Yu, Chang-Hong (USA)",11984,55-59,02:24:48,04:55:18
15812,6065,W,"Elwood, Kendra (USA)",34142,30-34,02:18:22,04:55:18
15813,6066,W,"Barvece, Silvia (ARG)",29538,40-44,02:12:42,04:55:18
15814,6067,W,"Gwozdz, Madison (USA)",30540,20-24,02:13:21,04:55:19
15816,6068,W,"Witt, Brianna (USA)",26496,35-39,02:22:20,04:55:21
15817,6069,W,"Fortin, Laura (USA)",33985,35-39,02:13:08,04:55:21
15822,6070,W,"Shanes, Alexis (USA)",33570,20-24,02:12:13,04:55:23
15823,6071,W,"Schulman, Emily (USA)",28245,25-29,02:06:30,04:55:23
15825,6072,W,"Leser, Victoria (USA)",27155,25-29,02:21:30,04:55:24
15827,6073,W,"Kelley, Celeste (USA)",44347,30-34,02:29:08,04:55:24
15828,6074,W,"Thorne, Morgan (USA)",25404,25-29,02:20:20,04:55:25
15829,6075,W,"Wardzala, Monika (POL)",28997,40-44,02:15:23,04:55:25
15830,6076,W,"Blankenship, Elise (USA)",27472,30-34,02:15:10,04:55:26
15831,6077,W,"Diaz, Olga (MEX)",21364,45-49,02:16:13,04:55:26
15834,6078,W,"Hogan, Michele (USA)",46243,45-49,02:14:39,04:55:26
15835,6079,W,"Sagala, Jennifer (USA)",13449,30-34,01:58:40,04:55:27
15836,6080,W,"Wade, Jessica (USA)",29494,40-44,02:19:02,04:55:28
15838,6081,W,"Bonine, Ashleigh (USA)",47703,40-44,02:21:05,04:55:29
15841,6082,W,"Bustos, Julissa (MEX)",40914,40-44,02:17:52,04:55:30
15842,6083,W,"Scherer, Jacqueline (USA)",33885,25-29,02:22:14,04:55:30
15845,6084,W,"Reis, Anne (USA)",27502,55-59,02:23:48,04:55:31
15846,6085,W,"Hoag, Bridgett (USA)",27237,35-39,02:08:42,04:55:31
15847,6086,W,"Rakin, Brigette (USA)",20994,25-29,02:19:31,04:55:31
15852,6087,W,"Gau, Janice (USA)",25809,25-29,02:03:18,04:55:32
15853,6088,W,"Gauen, Abigail (USA)",41496,25-29,02:21:32,04:55:32
15854,6089,W,"Linares, Conchita (USA)",43505,30-34,02:18:52,04:55:33
15856,6090,W,"Goodman, Jennifer (USA)",23833,45-49,02:18:52,04:55:34
15857,6091,W,"Hudson, Carolyn (USA)",29485,55-59,02:15:22,04:55:34
15858,6092,W,"Hou, Shiyu (CHN)",21852,25-29,02:14:45,04:55:35
15859,6093,W,"Heine, Lily (USA)",41048,30-34,02:23:00,04:55:35
15862,6094,W,"Uriostegui, Liliana (USA)",28290,25-29,02:14:38,04:55:36
15863,6095,W,"Weidner, Christina (USA)",40199,30-34,,04:55:37
15864,6096,W,"Perkins, Danielle (USA)",13660,25-29,02:14:51,04:55:38
15866,6097,W,"Baker-Mccain, Melanie (USA)",45193,45-49,02:23:07,04:55:38
15870,6098,W,"Halack, Sarah (USA)",16937,40-44,02:23:52,04:55:39
15873,6099,W,"Bosslet, Anne (USA)",35589,30-34,02:23:52,04:55:40
15874,6100,W,"Gach, Jana (USA)",41190,35-39,02:23:14,04:55:40
15879,6101,W,"Taherian, Emily (USA)",22446,30-34,02:11:50,04:55:44
15881,6102,W,"Leon, Meredith (USA)",45387,20-24,02:20:30,04:55:44
15883,6103,W,"Martinez, Delia (MEX)",15551,55-59,02:11:17,04:55:45
15890,6104,W,"Sullivan, Devon (USA)",25384,20-24,02:17:14,04:55:47
15894,6105,W,"Kaiser, Mikaela (USA)",35216,25-29,02:22:42,04:55:48
15895,6106,W,"Menchaca, Stephanie (USA)",31323,35-39,02:09:46,04:55:48
15896,6107,W,"Crotty, Keelin (USA)",24760,20-24,02:22:39,04:55:48
15898,6108,W,"Heincelman, Sarah (USA)",24385,35-39,02:06:11,04:55:49
15900,6109,W,"Skibarka, Zivile (LTU)",29483,35-39,02:21:35,04:55:50
15901,6110,W,"Wen, Julia (USA)",47673,30-34,02:25:01,04:55:50
15903,6111,W,"Barcena, Aubrey (PHI)",26845,30-34,02:18:28,04:55:51
15904,6112,W,"Webb, Samantha (USA)",26490,25-29,02:21:42,04:55:51
15906,6113,W,"Gonzalez, Nancy (USA)",32899,45-49,02:19:18,04:55:51
15909,6114,W,"Osborne, Hannah (USA)",44924,30-34,02:18:37,04:55:52
15910,6115,W,"Armendariz, Cristina (MEX)",26735,45-49,02:20:35,04:55:52
15912,6116,W,"Hamilton, Robyn (USA)",13838,40-44,02:09:23,04:55:53
15915,6117,W,"Yorra, Nicole (USA)",42289,25-29,02:18:34,04:55:54
15916,6118,W,"Fraga, Maria Dolores (MEX)",42190,40-44,02:12:34,04:55:54
15917,6119,W,"Uruchima, Sinthia (USA)",40162,25-29,02:19:41,04:55:54
15918,6120,W,"Schmidt, Tyrrell (USA)",34474,60-64,02:16:27,04:55:55
15920,6121,W,"Paz, Lulu (MEX)",15996,55-59,02:00:36,04:55:55
15922,6122,W,"Luevanos, Marivel (USA)",26284,40-44,02:10:50,04:55:55
15923,6123,W,"Deng, Sixiang (CHN)",41182,30-34,02:17:56,04:55:55
15925,6124,W,"Schlea, Colleen (USA)",31870,55-59,02:15:05,04:55:56
15926,6125,W,"Long, Katie (USA)",32906,35-39,02:17:14,04:55:57
15927,6126,W,"Pyun, Jennifer (USA)",43480,40-44,02:24:15,04:55:58
15929,6127,W,"Garzon Daza, Erika (COL)",36383,35-39,02:16:30,04:55:58
15932,6128,W,"Hwong, Ming (MAS)",45408,40-44,02:23:50,04:55:59
15933,6129,W,"Roy, Ellen (USA)",43227,45-49,02:23:29,04:55:59
15934,6130,W,"Orlowski, Emily (USA)",42333,25-29,02:23:29,04:56:00
15935,6131,W,"Rohde, Elizabeth (USA)",46138,30-34,02:33:56,04:56:01
15938,6132,W,"Bookwalter, Christine (USA)",27334,40-44,02:14:59,04:56:01
15939,6133,W,"Welsh, Ashley (USA)",41336,40-44,02:16:50,04:56:02
15941,6134,W,"Landini, Jen (USA)",25814,40-44,02:17:46,04:56:02
15942,6135,W,"Jovanovic, Danielle (USA)",9934,40-44,01:59:04,04:56:04
15943,6136,W,"Batchelder, Jenifer (USA)",46350,40-44,02:23:08,04:56:04
15944,6137,W,"Prudenkova, Evgeniya (RUS)",21646,30-34,02:12:04,04:56:04
15947,6138,W,"Docel, Elizabeth (USA)",34728,25-29,02:13:05,04:56:05
15949,6139,W,"Caulfield, Colleen (USA)",22861,20-24,02:22:40,04:56:06
15950,6140,W,"Jordan, Andrea (MEX)",19875,25-29,02:17:55,04:56:07
15952,6141,W,"Sanchez, Alejandra (VEN)",21547,25-29,02:24:52,04:56:07
15954,6142,W,"Smith, Jill (USA)",44362,45-49,02:25:19,04:56:07
15955,6143,W,"Beekman, Kimberly (USA)",39391,40-44,02:25:20,04:56:08
15956,6144,W,"Jung, Christine (USA)",31971,40-44,02:22:01,04:56:08
15958,6145,W,"Brooke, Rachel (USA)",46105,35-39,02:12:19,04:56:08
15959,6146,W,"Fellowes, Brittany (USA)",46103,40-44,02:16:15,04:56:09
15960,6147,W,"Henry, Kim (USA)",28454,55-59,02:16:01,04:56:09
15961,6148,W,"Lovell, Elise (USA)",25554,55-59,02:18:35,04:56:09
15964,6149,W,"Mohr, Callieh (USA)",45373,20-24,02:17:26,04:56:10
15966,6150,W,"Gentles, Carlene (USA)",33855,50-54,02:19:37,04:56:10
15970,6151,W,"McDermott, Suzanne (USA)",13721,40-44,02:14:45,04:56:11
15971,6152,W,"Stuthard-Mendoza, Kristin (USA)",27782,30-34,02:21:30,04:56:11
15976,6153,W,"Baskerville, Jennifer (USA)",31979,45-49,02:24:39,04:56:12
15980,6154,W,"Heckart, Maya (USA)",37847,20-24,02:18:24,04:56:12
15981,6155,W,"Kwon, Caroline (USA)",29642,30-34,02:16:08,04:56:12
15985,6156,W,"Thrasher, Kelsi (USA)",31869,25-29,02:28:53,04:56:15
15986,6157,W,"Gil, Valeria (MEX)",22703,20-24,02:23:06,04:56:15
15988,6158,W,"Blotner, Amy (USA)",31463,55-59,02:19:14,04:56:17
15989,6159,W,"Tomczak, Alison (USA)",29399,35-39,02:20:24,04:56:18
15992,6160,W,"Pruett, Megan (USA)",34507,25-29,02:17:40,04:56:19
16003,6161,W,"Brewer, Mandolin (USA)",30758,30-34,02:12:39,04:56:23
16004,6162,W,"Sudworth, Rebecca (USA)",22904,20-24,02:30:30,04:56:23
16006,6163,W,"Lundy, Kimberly (USA)",29768,60-64,02:20:54,04:56:24
16007,6164,W,"Brost, Molly (USA)",29852,40-44,02:18:30,04:56:24
16010,6165,W,"Kirley, Megan (USA)",44267,50-54,02:14:39,04:56:25
16011,6166,W,"Larson, Cynt (USA)",14545,45-49,02:14:49,04:56:25
16012,6167,W,"Matney, Brittany (USA)",41066,30-34,02:06:39,04:56:26
16014,6168,W,"Kissel, Adriana (USA)",25602,35-39,02:20:32,04:56:26
16022,6169,W,"Brems, Alyssa (USA)",46426,20-24,02:19:19,04:56:29
16023,6170,W,"Jadhav, Snehal (IND)",29290,35-39,02:02:16,04:56:30
16024,6171,W,"Keidan, Rebecca (USA)",46602,20-24,02:28:54,04:56:30
16025,6172,W,"Minnick, Sarah (USA)",27664,45-49,02:28:39,04:56:30
16026,6173,W,"MacCallum, Nikki (USA)",40081,35-39,02:18:53,04:56:30
16028,6174,W,"Sola, Lucy (USA)",36837,25-29,02:25:04,04:56:31
16029,6175,W,"Briggs, Emily (USA)",26003,20-24,02:14:20,04:56:31
16030,6176,W,"Thomas, Jessica (USA)",34985,35-39,02:22:18,04:56:31
16031,6177,W,"Alvarez, Maria (MEX)",22547,30-34,02:27:10,04:56:31
16033,6178,W,"Narvaez, Paulina (CHI)",18481,45-49,02:19:26,04:56:34
16034,6179,W,"Siolka, Amy (USA)",27679,25-29,02:09:41,04:56:34
16037,6180,W,"Burback, Sara (USA)",32352,35-39,02:02:41,04:56:36
16040,6181,W,"Musacchio, Amanda (USA)",28571,45-49,02:16:53,04:56:36
16042,6182,W,"Chandler, Patricia (USA)",33505,60-64,02:22:22,04:56:37
16043,6183,W,"Castillo Velazquez, Velina (MEX)",3774,40-44,02:12:13,04:56:37
16045,6184,W,"Ryan, Taylor (USA)",46157,20-24,02:15:22,04:56:37
16047,6185,W,"Michalski, Kate (USA)",15936,25-29,02:16:51,04:56:38
16048,6186,W,"Kaplan, Jennifer C (USA)",45246,20-24,02:15:21,04:56:39
16051,6187,W,"Chavez, Estela (MEX)",2084,45-49,01:40:12,04:56:39
16055,6188,W,"Crothers, Michelle (USA)",23086,30-34,02:06:05,04:56:40
16057,6189,W,"Parks, Pearl (USA)",46551,35-39,02:28:35,04:56:41
16058,6190,W,"Dabbah, Taylor (USA)",44130,25-29,02:18:02,04:56:41
16059,6191,W,"Van Winkle, Liz (USA)",36812,35-39,02:20:53,04:56:42
16060,6192,W,"Jacobsen, Melissa (USA)",26765,45-49,02:18:29,04:56:42
16061,6193,W,"Strauss, Abigail (USA)",43291,25-29,02:17:58,04:56:43
16062,6194,W,"Bal, Preet (USA)",24755,30-34,02:17:52,04:56:43
16063,6195,W,"John, Dalila (USA)",16396,40-44,02:13:36,04:56:43
16064,6196,W,"Brown, Laura (USA)",35642,35-39,02:23:14,04:56:44
16065,6197,W,"Burns, Elizabeth (USA)",30489,35-39,02:21:18,04:56:44
16068,6198,W,"Randecker, Emily (USA)",9835,30-34,02:12:47,04:56:46
16069,6199,W,"Miserendino, Sharon (USA)",36105,40-44,02:20:28,04:56:46
16072,6200,W,"Cooney, Patricia (USA)",6934,50-54,02:08:26,04:56:48
16074,6201,W,"Lo, Rachel (USA)",10896,25-29,02:10:41,04:56:49
16075,6202,W,"Lopez Diaz, Africa Sulema (MEX)",3922,45-49,02:18:37,04:56:49
16076,6203,W,"Kristowski, Melissa (USA)",45172,35-39,02:20:04,04:56:50
16078,6204,W,"Patton, Amanda (USA)",27487,35-39,02:21:59,04:56:51
16079,6205,W,"Ott-Meyer, Kristy (USA)",5974,60-64,02:21:59,04:56:51
16080,6206,W,"Andrews, Sophia (USA)",46689,30-34,02:16:42,04:56:51
16083,6207,W,"Stangas, Alexis (USA)",34784,25-29,02:19:56,04:56:52
16089,6208,W,"Liceaga, Candace (USA)",31393,35-39,02:16:30,04:56:54
16093,6209,W,"Russell, Sophie (GBR)",42252,30-34,02:26:48,04:56:57
16094,6210,W,"Kossove, Danielle (USA)",43104,40-44,02:16:54,04:56:57
16095,6211,W,"Spears, Tracy (USA)",24358,35-39,02:17:01,04:56:57
16096,6212,W,"Forsyth, Gillian (USA)",35786,50-54,02:29:21,04:56:57
16097,6213,W,"Kendrick, Pamela (USA)",21711,60-64,02:07:49,04:56:58
16098,6214,W,"Cornfield, Melissa (USA)",40406,30-34,02:23:43,04:56:58
16101,6215,W,"Gerst, Kayla (USA)",41020,30-34,02:16:28,04:56:59
16102,6216,W,"Guenterberg, Dana (USA)",28791,25-29,02:17:32,04:56:59
16106,6217,W,"Huang, Rong (USA)",18412,50-54,02:18:12,04:57:00
16108,6218,W,"Barrera, Ana paula (MEX)",16913,30-34,02:19:45,04:57:02
16110,6219,W,"Pacheco, Marlyn (GUA)",44521,40-44,02:32:26,04:57:02
16112,6220,W,"Burke, Tessa (USA)",33949,35-39,02:26:23,04:57:02
16113,6221,W,"Garza Aguilar, Norali (USA)",28036,35-39,02:11:50,04:57:03
16117,6222,W,"Hoten, Leigh (USA)",28650,45-49,02:07:54,04:57:04
16118,6223,W,"Calle, Erin (USA)",24715,40-44,02:22:48,04:57:04
16119,6224,W,"Stone, Nicole (USA)",14525,30-34,02:13:33,04:57:05
16120,6225,W,"Dosanjh, Thea (USA)",34884,40-44,02:27:06,04:57:06
16121,6226,W,"Kelliher, Shannon (USA)",37606,25-29,02:25:55,04:57:06
16123,6227,W,"Kading, Halee (USA)",44679,30-34,02:25:12,04:57:08
16124,6228,W,"Palutsis, Elaine (USA)",21781,30-34,02:24:35,04:57:08
16135,6229,W,"Geis, Kari (USA)",46432,40-44,02:25:45,04:57:12
16136,6230,W,"Kaminski, Morgan (USA)",47110,35-39,02:23:38,04:57:13
16137,6231,W,"Magana, Claudette (CRC)",20080,35-39,02:17:54,04:57:13
16138,6232,W,"Vasquez, Loni (USA)",34477,45-49,02:26:56,04:57:14
16139,6233,W,"Fane-Hervey, Megan (RSA)",29993,30-34,02:22:11,04:57:14
16142,6234,W,"Sun, Ni (CHN)",16139,40-44,02:21:37,04:57:16
16143,6235,W,"Lizenbergs, Annie (USA)",46514,35-39,02:22:03,04:57:16
16144,6236,W,"Cooper, Lisa (USA)",23857,45-49,02:15:20,04:57:16
16146,6237,W,"Humes, Jeanine (USA)",27843,45-49,02:22:45,04:57:17
16147,6238,W,"Valenzuela, Antonia (CHI)",27910,30-34,02:30:01,04:57:17
16148,6239,W,"Carrizalez ramirez, Cinthya (MEX)",22600,35-39,02:17:03,04:57:17
16150,6240,W,"Bohanon, Catherine (USA)",31073,30-34,02:19:18,04:57:18
16153,6241,W,"White, Hannah (USA)",22744,25-29,02:23:17,04:57:19
16157,6242,W,"Valdivia, Jennifer (USA)",32768,40-44,02:06:22,04:57:20
16159,6243,W,"Munar guevara, Andrea Carolina (COL)",39768,35-39,02:22:34,04:57:21
16160,6244,W,"Aquino, Odalis (USA)",31896,45-49,02:24:12,04:57:22
16161,6245,W,"Griffin, Holly (USA)",45309,40-44,02:21:45,04:57:22
16162,6246,W,"Fredrickson, Andrea (USA)",8670,40-44,01:59:19,04:57:22
16163,6247,W,"Mick, Mackenzie (USA)",34907,25-29,02:18:26,04:57:23
16166,6248,W,"Hague, Emma (USA)",34903,25-29,02:18:26,04:57:23
16172,6249,W,"Ayala, Marithe (MEX)",22484,25-29,02:13:52,04:57:24
16174,6250,W,"Yurko, Erin (USA)",38125,25-29,02:12:34,04:57:24
16175,6251,W,"Oakes, Jeannie (USA)",35732,35-39,02:17:18,04:57:24
16176,6252,W,"Perez, Marisa (USA)",44015,40-44,02:28:43,04:57:25
16178,6253,W,"Pontius, Kelly (USA)",35601,30-34,02:21:15,04:57:25
16179,6254,W,"Kang, Hyun (USA)",23768,60-64,02:21:47,04:57:26
16180,6255,W,"Rivera, Margaret (USA)",28666,25-29,02:16:17,04:57:26
16184,6256,W,"Hooper, Kathryn (USA)",12949,40-44,02:09:34,04:57:28
16187,6257,W,"Mosley, Diane (USA)",33857,50-54,02:17:06,04:57:30
16188,6258,W,"Cherry, Danielle (USA)",41787,25-29,02:32:38,04:57:30
16189,6259,W,"Odette, Melinda (USA)",26667,40-44,02:21:16,04:57:31
16190,6260,W,"Mapaye, Tracy (USA)",20800,25-29,02:17:12,04:57:31
16191,6261,W,"Lyon, Mallory (USA)",40603,30-34,02:25:35,04:57:31
16192,6262,W,"Corrigan, Kim (USA)",25969,40-44,02:16:08,04:57:31
16193,6263,W,"Ramchandani, Manju (IND)",43691,35-39,02:21:49,04:57:32
16195,6264,W,"Maffioly, Maria (ARG)",44308,45-49,02:18:54,04:57:33
16196,6265,W,"Challa, Lauren (USA)",8836,25-29,02:15:48,04:57:33
16197,6266,W,"Pena, Miriam (MEX)",21174,25-29,02:12:15,04:57:34
16198,6267,W,"Suimenalieva, Asel (KGZ)",26577,25-29,02:18:16,04:57:34
16201,6268,W,"Hendrix, Anne (USA)",38607,65-69,02:21:41,04:57:34
16202,6269,W,"Hendrix, Theresa (USA)",32980,25-29,02:21:42,04:57:35
16203,6270,W,"Guidry, Sophie (USA)",35714,30-34,02:25:54,04:57:36
16204,6271,W,"Shiell, Kelly (USA)",47588,45-49,02:24:04,04:57:36
16205,6272,W,"McHugh, Colleen (USA)",24649,35-39,02:17:00,04:57:36
16206,6273,W,"Palmisano, Sarah (USA)",46166,30-34,02:28:05,04:57:36
16207,6274,W,"Russell, Hannah (USA)",34284,25-29,02:13:26,04:57:37
16208,6275,W,"Deadmond, Monica (USA)",23601,20-24,02:11:56,04:57:38
16210,6276,W,"George, Holly (USA)",45213,45-49,02:29:09,04:57:39
16215,6277,W,"Ayub Garza Castillon, Maria (MEX)",22546,30-34,02:25:00,04:57:39
16217,6278,W,"Nevins, Abbey (USA)",36928,25-29,02:21:42,04:57:40
16219,6279,W,"Endsley, Melissa (USA)",25127,30-34,02:21:48,04:57:40
16220,6280,W,"Baranack, Kristin (USA)",25773,35-39,02:21:37,04:57:41
16221,6281,W,"Bernal, Maria (USA)",28627,50-54,02:07:38,04:57:41
16223,6282,W,"Salomon Velazquez, Concepcion (MEX)",22507,40-44,02:18:33,04:57:42
16224,6283,W,"Lanz, Susan (USA)",8941,45-49,02:14:46,04:57:43
16226,6284,W,"Rady, Meghan (USA)",31852,45-49,02:15:22,04:57:44
16230,6285,W,"Miller, Nancy (USA)",16771,55-59,02:16:55,04:57:45
16231,6286,W,"Glaze, Theneshia (USA)",16551,40-44,02:20:53,04:57:46
16232,6287,W,"Finzer, Kelly (USA)",35602,30-34,02:17:44,04:57:46
16235,6288,W,"Parrish, Alexandra (USA)",29871,30-34,02:24:58,04:57:47
16237,6289,W,"Zielinski, Jordan (USA)",23607,25-29,02:14:22,04:57:48
16238,6290,W,"Avery, Leah (USA)",36206,30-34,02:12:30,04:57:50
16243,6291,W,"Patterson, Jessica (USA)",24444,40-44,02:18:55,04:57:52
16244,6292,W,"Juarez, Betina (ARG)",43215,50-54,02:16:26,04:57:52
16245,6293,W,"Prokuski, Ning (USA)",18426,50-54,02:27:27,04:57:53
16247,6294,W,"Behrend, Abigail (USA)",15683,35-39,02:14:42,04:57:53
16248,6295,W,"Kogut, Aleksandra (POL)",24694,35-39,02:24:13,04:57:53
16252,6296,W,"Manley, Sarah (USA)",43247,25-29,02:16:07,04:57:54
16253,6297,W,"Spielman, Fiona (USA)",43398,55-59,02:20:54,04:57:54
16255,6298,W,"Harrison, Lisa (USA)",24510,55-59,02:13:37,04:57:55
16256,6299,W,"De faria, Ludmila (BRA)",27627,50-54,02:19:21,04:57:55
16262,6300,W,"Smith, Emily (USA)",26643,30-34,01:56:39,04:57:57
16265,6301,W,"Weilein, Janice (USA)",21734,60-64,02:21:24,04:57:57
16267,6302,W,"Gelfarb, Amanda (USA)",34105,25-29,02:22:26,04:57:58
16269,6303,W,"Garcia, Caitlin (USA)",40512,30-34,02:22:39,04:58:00
16270,6304,W,"Wolfe, Demi (USA)",46499,25-29,02:23:12,04:58:00
16274,6305,W,"Gubbay, Kayla (USA)",21924,30-34,02:19:39,04:58:02
16274,6305,W,"Whitney, Cheryl (USA)",24634,50-54,02:17:29,04:58:02
16279,6307,W,"MccCabe, Leslie (USA)",24974,50-54,02:25:45,04:58:04
16280,6308,W,"Hambley, Michele (USA)",24973,50-54,02:25:45,04:58:04
16281,6309,W,"Jenner, Bridgette (USA)",32991,45-49,02:14:42,04:58:04
16282,6310,W,"Voigt, Susan (USA)",27940,40-44,02:17:22,04:58:06
16285,6311,W,"Roberts, Mary (USA)",24988,50-54,02:20:52,04:58:06
16287,6312,W,"McMaster, Ryan (USA)",29452,25-29,02:10:48,04:58:07
16288,6313,W,"Clarke, Cheryl (USA)",26635,50-54,02:13:57,04:58:08
16289,6314,W,"Cole, Geneva (USA)",21936,25-29,02:24:55,04:58:08
16290,6315,W,"Hickey, Jenni (USA)",29422,25-29,02:22:58,04:58:08
16294,6316,W,"Richards, Mary (USA)",24469,25-29,02:14:55,04:58:10
16296,6317,W,"Potenciano, Janayna (USA)",33242,30-34,02:18:28,04:58:11
16303,6318,W,"Gronceski, Rebecca (USA)",25739,20-24,02:20:07,04:58:14
16308,6319,W,"Kilroy, Hannah (USA)",30923,25-29,02:22:41,04:58:16
16310,6320,W,"Grandi, Susanna (USA)",46264,25-29,02:29:15,04:58:17
16311,6321,W,"Gonzalez, Mariangela (VEN)",24519,40-44,02:18:11,04:58:17
16315,6322,W,"Nelles, Beth (USA)",13823,50-54,02:15:10,04:58:18
16316,6323,W,"Bell, Stefanie (USA)",28786,35-39,02:24:49,04:58:18
16318,6324,W,"Chung, Aerene (USA)",35534,30-34,02:26:18,04:58:19
16320,6325,W,"Greer, Lauren (USA)",24068,30-34,02:13:51,04:58:20
16321,6326,W,"Palatino, Lindsey (USA)",33965,25-29,02:13:33,04:58:20
16322,6327,W,"Hayes, McKenna (USA)",22711,20-24,02:17:08,04:58:20
16326,6328,W,"Bedno, Sheryl (USA)",33723,50-54,02:13:59,04:58:22
16328,6329,W,"Pepe, Fabiola (USA)",27208,35-39,02:25:41,04:58:22
16332,6330,W,"Lamaze, Christy (USA)",18492,50-54,02:12:38,04:58:23
16333,6331,W,"Pettaway, Sho (USA)",40396,40-44,02:24:49,04:58:23
16335,6332,W,"Parks, Laura (USA)",40007,25-29,02:25:19,04:58:23
16336,6333,W,"O'Haver, Christina (USA)",33862,30-34,02:26:18,04:58:23
16340,6334,W,"Nickerson, Sue (USA)",5972,50-54,02:14:28,04:58:24
16342,6335,W,"Reff, Elizabeth (USA)",9925,25-29,02:17:55,04:58:25
16344,6336,W,"Maumus, Cassidy (USA)",31423,35-39,02:16:48,04:58:26
16345,6337,W,"Critch, Becky (USA)",9975,55-59,02:23:28,04:58:27
16346,6338,W,"Stelfox, Brianna (USA)",32208,25-29,02:12:49,04:58:27
16347,6339,W,"McNamara, Nancy (USA)",40966,25-29,02:26:57,04:58:27
16348,6340,W,"De Jesus, Abby (USA)",26151,30-34,02:15:54,04:58:27
16351,6341,W,"Jorge, Nicole (USA)",46124,40-44,02:08:41,04:58:28
16352,6342,W,"Donohoe, Carrie (USA)",40651,25-29,02:24:37,04:58:28
16354,6343,W,"Prado, Jessica (USA)",21866,25-29,02:16:58,04:58:30
